sample_id,image_path,map_mask_path,label_mask_path,width,height,center_class,center_class_value,center_area_m2,xoff,yoff,spatial_group,split
excess_00017,/home/work/data/change_detection/building/map-ortho/image/excess_00017.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/excess_00017.png,/home/work/data/change_detection/building/map-ortho/label_mask/excess_00017.png,1024,1024,excess,3,86.08,24398,15732,2_1,test
excess_00018,/home/work/data/change_detection/building/map-ortho/image/excess_00018.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/excess_00018.png,/home/work/data/change_detection/building/map-ortho/label_mask/excess_00018.png,1024,1024,excess,3,121.48,24218,16214,2_1,test
excess_00021,/home/work/data/change_detection/building/map-ortho/image/excess_00021.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/excess_00021.png,/home/work/data/change_detection/building/map-ortho/label_mask/excess_00021.png,1024,1024,excess,3,850.059,24237,16013,2_1,test
excess_00171,/home/work/data/change_detection/building/map-ortho/image/excess_00171.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/excess_00171.png,/home/work/data/change_detection/building/map-ortho/label_mask/excess_00171.png,1024,1024,excess,3,59.793,63149,23449,7_2,test
excess_00191,/home/work/data/change_detection/building/map-ortho/image/excess_00191.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/excess_00191.png,/home/work/data/change_detection/building/map-ortho/label_mask/excess_00191.png,1024,1024,excess,3,564.215,57449,24522,7_2,test
excess_00202,/home/work/data/change_detection/building/map-ortho/image/excess_00202.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/excess_00202.png,/home/work/data/change_detection/building/map-ortho/label_mask/excess_00202.png,1024,1024,excess,3,133.541,62481,24538,7_2,test
excess_00217,/home/work/data/change_detection/building/map-ortho/image/excess_00217.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/excess_00217.png,/home/work/data/change_detection/building/map-ortho/label_mask/excess_00217.png,1024,1024,excess,3,53.043,61794,19845,7_2,test
excess_00220,/home/work/data/change_detection/building/map-ortho/image/excess_00220.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/excess_00220.png,/home/work/data/change_detection/building/map-ortho/label_mask/excess_00220.png,1024,1024,excess,3,958.678,14386,42061,1_5,test
excess_00269,/home/work/data/change_detection/building/map-ortho/image/excess_00269.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/excess_00269.png,/home/work/data/change_detection/building/map-ortho/label_mask/excess_00269.png,1024,1024,excess,3,60.324,16173,38205,1_4,test
excess_00270,/home/work/data/change_detection/building/map-ortho/image/excess_00270.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/excess_00270.png,/home/work/data/change_detection/building/map-ortho/label_mask/excess_00270.png,1024,1024,excess,3,76.209,16146,38144,1_4,test
excess_00277,/home/work/data/change_detection/building/map-ortho/image/excess_00277.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/excess_00277.png,/home/work/data/change_detection/building/map-ortho/label_mask/excess_00277.png,1024,1024,excess,3,115.731,37959,45757,4_5,test
excess_00278,/home/work/data/change_detection/building/map-ortho/image/excess_00278.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/excess_00278.png,/home/work/data/change_detection/building/map-ortho/label_mask/excess_00278.png,1024,1024,excess,3,188.675,45630,54588,5_6,test
excess_00282,/home/work/data/change_detection/building/map-ortho/image/excess_00282.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/excess_00282.png,/home/work/data/change_detection/building/map-ortho/label_mask/excess_00282.png,1024,1024,excess,3,51.731,42203,53519,5_6,test
excess_00283,/home/work/data/change_detection/building/map-ortho/image/excess_00283.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/excess_00283.png,/home/work/data/change_detection/building/map-ortho/label_mask/excess_00283.png,1024,1024,excess,3,215.097,42199,52677,5_6,test
excess_00288,/home/work/data/change_detection/building/map-ortho/image/excess_00288.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/excess_00288.png,/home/work/data/change_detection/building/map-ortho/label_mask/excess_00288.png,1024,1024,excess,3,198.425,42299,51525,5_6,test
excess_00289,/home/work/data/change_detection/building/map-ortho/image/excess_00289.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/excess_00289.png,/home/work/data/change_detection/building/map-ortho/label_mask/excess_00289.png,1024,1024,excess,3,54.483,35818,46124,4_5,test
excess_00290,/home/work/data/change_detection/building/map-ortho/image/excess_00290.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/excess_00290.png,/home/work/data/change_detection/building/map-ortho/label_mask/excess_00290.png,1024,1024,excess,3,84.779,34537,42251,4_5,test
excess_00292,/home/work/data/change_detection/building/map-ortho/image/excess_00292.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/excess_00292.png,/home/work/data/change_detection/building/map-ortho/label_mask/excess_00292.png,1024,1024,excess,3,278.277,36275,45711,4_5,test
excess_00293,/home/work/data/change_detection/building/map-ortho/image/excess_00293.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/excess_00293.png,/home/work/data/change_detection/building/map-ortho/label_mask/excess_00293.png,1024,1024,excess,3,285.57,37957,44730,4_5,test
excess_00294,/home/work/data/change_detection/building/map-ortho/image/excess_00294.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/excess_00294.png,/home/work/data/change_detection/building/map-ortho/label_mask/excess_00294.png,1024,1024,excess,3,92.883,35589,43057,4_5,test
excess_00298,/home/work/data/change_detection/building/map-ortho/image/excess_00298.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/excess_00298.png,/home/work/data/change_detection/building/map-ortho/label_mask/excess_00298.png,1024,1024,excess,3,470.461,38372,42507,4_5,test
excess_00314,/home/work/data/change_detection/building/map-ortho/image/excess_00314.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/excess_00314.png,/home/work/data/change_detection/building/map-ortho/label_mask/excess_00314.png,1024,1024,excess,3,371.76,40937,46394,4_5,test
excess_00319,/home/work/data/change_detection/building/map-ortho/image/excess_00319.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/excess_00319.png,/home/work/data/change_detection/building/map-ortho/label_mask/excess_00319.png,1024,1024,excess,3,222.098,42038,53296,5_6,test
excess_00320,/home/work/data/change_detection/building/map-ortho/image/excess_00320.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/excess_00320.png,/home/work/data/change_detection/building/map-ortho/label_mask/excess_00320.png,1024,1024,excess,3,223.245,41927,53426,5_6,test
excess_00321,/home/work/data/change_detection/building/map-ortho/image/excess_00321.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/excess_00321.png,/home/work/data/change_detection/building/map-ortho/label_mask/excess_00321.png,1024,1024,excess,3,148.742,43318,52808,5_6,test
excess_00324,/home/work/data/change_detection/building/map-ortho/image/excess_00324.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/excess_00324.png,/home/work/data/change_detection/building/map-ortho/label_mask/excess_00324.png,1024,1024,excess,3,64.758,32837,48802,4_5,test
excess_00326,/home/work/data/change_detection/building/map-ortho/image/excess_00326.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/excess_00326.png,/home/work/data/change_detection/building/map-ortho/label_mask/excess_00326.png,1024,1024,excess,3,148.157,35478,42807,4_5,test
