sample_id,image_path,map_mask_path,label_mask_path,width,height,center_class,center_class_value,center_area_m2,center_x,center_y,xoff,yoff,source_raster_id,source_gsd_m,spatial_group,split_v1,spatial_component_v2,spatial_buffer_pixels_v2,split
excess_00220,/home/work/data/change_detection/building/map-ortho/image/excess_00220.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/excess_00220.png,/home/work/data/change_detection/building/map-ortho/label_mask/excess_00220.png,1024,1024,excess,3,958.678,200015.439,543283.565,14386,42061,orthophoto_2020_seocho_gangnam_merged_5186_cog,0.12,1_5,test,spv2_0002,256,test
excess_00244,/home/work/data/change_detection/building/map-ortho/image/excess_00244.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/excess_00244.png,/home/work/data/change_detection/building/map-ortho/label_mask/excess_00244.png,1024,1024,excess,3,736.413,200034.377,541881.152,14544,53748,orthophoto_2020_seocho_gangnam_merged_5186_cog,0.12,1_6,train,spv2_0004,256,test
excess_00245,/home/work/data/change_detection/building/map-ortho/image/excess_00245.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/excess_00245.png,/home/work/data/change_detection/building/map-ortho/label_mask/excess_00245.png,1024,1024,excess,3,892.097,200053.894,541829.815,14707,54176,orthophoto_2020_seocho_gangnam_merged_5186_cog,0.12,1_6,train,spv2_0004,256,test
excess_00265,/home/work/data/change_detection/building/map-ortho/image/excess_00265.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/excess_00265.png,/home/work/data/change_detection/building/map-ortho/label_mask/excess_00265.png,1024,1024,excess,3,556.841,200080.848,541818.908,14931,54266,orthophoto_2020_seocho_gangnam_merged_5186_cog,0.12,1_6,train,spv2_0004,256,test
omission_00799,/home/work/data/change_detection/building/map-ortho/image/omission_00799.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/omission_00799.png,/home/work/data/change_detection/building/map-ortho/label_mask/omission_00799.png,1024,1024,omission,2,59.342,200056.518,541749.644,14729,54844,orthophoto_2020_seocho_gangnam_merged_5186_cog,0.12,1_6,train,spv2_0004,256,test
excess_00218,/home/work/data/change_detection/building/map-ortho/image/excess_00218.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/excess_00218.png,/home/work/data/change_detection/building/map-ortho/label_mask/excess_00218.png,1024,1024,excess,3,346.289,201082.946,542468.951,23282,48849,orthophoto_2020_seocho_gangnam_merged_5186_cog,0.12,2_5,train,spv2_0027,256,test
excess_00258,/home/work/data/change_detection/building/map-ortho/image/excess_00258.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/excess_00258.png,/home/work/data/change_detection/building/map-ortho/label_mask/excess_00258.png,1024,1024,excess,3,588.707,201184.328,542558.593,24127,48102,orthophoto_2020_seocho_gangnam_merged_5186_cog,0.12,2_5,train,spv2_0027,256,test
excess_00259,/home/work/data/change_detection/building/map-ortho/image/excess_00259.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/excess_00259.png,/home/work/data/change_detection/building/map-ortho/label_mask/excess_00259.png,1024,1024,excess,3,317.746,201190.18,542587.091,24176,47865,orthophoto_2020_seocho_gangnam_merged_5186_cog,0.12,2_5,train,spv2_0027,256,test
excess_00266,/home/work/data/change_detection/building/map-ortho/image/excess_00266.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/excess_00266.png,/home/work/data/change_detection/building/map-ortho/label_mask/excess_00266.png,1024,1024,excess,3,328.995,201264.87,542432.672,24798,49152,orthophoto_2020_seocho_gangnam_merged_5186_cog,0.12,3_6,val,spv2_0027,256,test
excess_00226,/home/work/data/change_detection/building/map-ortho/image/excess_00226.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/excess_00226.png,/home/work/data/change_detection/building/map-ortho/label_mask/excess_00226.png,1024,1024,excess,3,151.87,201508.817,543709.712,26831,38510,orthophoto_2020_seocho_gangnam_merged_5186_cog,0.12,3_4,train,spv2_0033,256,test
excess_00252,/home/work/data/change_detection/building/map-ortho/image/excess_00252.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/excess_00252.png,/home/work/data/change_detection/building/map-ortho/label_mask/excess_00252.png,1024,1024,excess,3,69.533,201529.759,543603.558,27006,39394,orthophoto_2020_seocho_gangnam_merged_5186_cog,0.12,3_4,train,spv2_0033,256,test
omission_00844,/home/work/data/change_detection/building/map-ortho/image/omission_00844.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/omission_00844.png,/home/work/data/change_detection/building/map-ortho/label_mask/omission_00844.png,1024,1024,omission,2,152.2,201367.831,543631.107,25656,39165,orthophoto_2020_seocho_gangnam_merged_5186_cog,0.12,3_4,train,spv2_0033,256,test
omission_00845,/home/work/data/change_detection/building/map-ortho/image/omission_00845.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/omission_00845.png,/home/work/data/change_detection/building/map-ortho/label_mask/omission_00845.png,1024,1024,omission,2,132.38,201378.842,543646.231,25748,39039,orthophoto_2020_seocho_gangnam_merged_5186_cog,0.12,3_4,train,spv2_0033,256,test
excess_00230,/home/work/data/change_detection/building/map-ortho/image/excess_00230.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/excess_00230.png,/home/work/data/change_detection/building/map-ortho/label_mask/excess_00230.png,1024,1024,excess,3,116.019,201420.142,542987.974,26092,44524,orthophoto_2020_seocho_gangnam_merged_5186_cog,0.12,3_5,val,spv2_0034,256,test
excess_00242,/home/work/data/change_detection/building/map-ortho/image/excess_00242.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/excess_00242.png,/home/work/data/change_detection/building/map-ortho/label_mask/excess_00242.png,1024,1024,excess,3,223.716,201482.571,542938.772,26612,44934,orthophoto_2020_seocho_gangnam_merged_5186_cog,0.12,3_5,val,spv2_0034,256,test
excess_00257,/home/work/data/change_detection/building/map-ortho/image/excess_00257.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/excess_00257.png,/home/work/data/change_detection/building/map-ortho/label_mask/excess_00257.png,1024,1024,excess,3,76.851,201512.619,542774.075,26863,46307,orthophoto_2020_seocho_gangnam_merged_5186_cog,0.12,3_5,val,spv2_0034,256,test
omission_00822,/home/work/data/change_detection/building/map-ortho/image/omission_00822.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/omission_00822.png,/home/work/data/change_detection/building/map-ortho/label_mask/omission_00822.png,1024,1024,omission,2,211.62,201591.706,542969.618,27522,44677,orthophoto_2020_seocho_gangnam_merged_5186_cog,0.12,3_5,val,spv2_0034,256,test
omission_00823,/home/work/data/change_detection/building/map-ortho/image/omission_00823.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/omission_00823.png,/home/work/data/change_detection/building/map-ortho/label_mask/omission_00823.png,1024,1024,omission,2,188.541,201622.266,542977.838,27777,44609,orthophoto_2020_seocho_gangnam_merged_5186_cog,0.12,3_5,val,spv2_0034,256,test
omission_00824,/home/work/data/change_detection/building/map-ortho/image/omission_00824.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/omission_00824.png,/home/work/data/change_detection/building/map-ortho/label_mask/omission_00824.png,1024,1024,omission,2,153.383,201606.03,542974.59,27641,44636,orthophoto_2020_seocho_gangnam_merged_5186_cog,0.12,3_5,val,spv2_0034,256,test
omission_00825,/home/work/data/change_detection/building/map-ortho/image/omission_00825.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/omission_00825.png,/home/work/data/change_detection/building/map-ortho/label_mask/omission_00825.png,1024,1024,omission,2,736.263,201609.699,542952.429,27672,44820,orthophoto_2020_seocho_gangnam_merged_5186_cog,0.12,3_5,val,spv2_0034,256,test
